Market Participant Role Code Id,Market Participant Chellow Id,Address Line 1,Effective From Date {MPR},Effective To Date {MPR},Distributor Short Code
3,141,Aura Energy Limited,2014-05-14 00:00:00+00,,
2,142,Apex Green Ltd,2014-12-17 00:00:00+00,,
3,142,Apex Green Ltd,2014-12-17 00:00:00+00,,
2,143,AAA Green Solutions Ltd,2014-07-16 00:00:00+00,,
3,143,AAA Green Solutions Ltd,2014-07-16 00:00:00+00,,
2,144,Bartons of Duke Street,2014-08-20 00:00:00+00,,
3,144,Bartons of Duke Street,2014-08-20 00:00:00+00,,
2,145,Bartons of Duke Street Limited,2013-07-17 00:00:00+00,,
2,146,BritishEco Limited,2012-07-18 00:00:00+00,,
3,146,BritishEco Limited,2012-07-18 00:00:00+00,,
2,147,Centrica Finance (UK) Ltd,2014-02-19 00:00:00+00,,
3,147,Centrica Finance (UK) Ltd,2014-02-19 00:00:00+00,,
2,148,British Gas New Heating,2012-09-19 00:00:00+00,,
3,148,British Gas New Heating,2012-09-19 00:00:00+00,,
2,149,Brook Energy Services Ltd,2014-03-19 00:00:00+00,,
3,149,Brook Energy Services Ltd,2014-03-19 00:00:00+00,,
2,150,BMRE Limited,2014-05-14 00:00:00+00,,
3,150,BMRE Limited,2014-05-14 00:00:00+00,,
2,151,Broad Oak Properties Ltd,2013-08-14 00:00:00+00,,
2,152,GB Energy (Renewables) Ltd,2014-03-19 00:00:00+00,,
3,152,GB Energy (Renewables) Ltd,2014-03-19 00:00:00+00,,
2,153,Myblueskies Limited,2013-12-18 00:00:00+00,,
3,153,Myblueskies Limited,2013-12-18 00:00:00+00,,
2,154,CarbonLow Real Estate Limited,2013-07-17 00:00:00+00,,
3,154,CarbonLow Real Estate Limited,2013-07-17 00:00:00+00,,
2,155,Eco Carbon Print Limited,2014-05-14 00:00:00+00,,
3,155,Eco Carbon Print Limited,2014-05-14 00:00:00+00,,
35,156,MRA Service Company Limited,2012-03-14 00:00:00+00,,
2,157,Countrywide Green Deal Ltd,2013-12-18 00:00:00+00,,
2,158,Carillion Energy Services,2012-07-18 00:00:00+00,,
3,158,Carillion Energy Services,2012-07-18 00:00:00+00,,
2,159,CRG Finance,2013-10-16 00:00:00+00,,
2,160,CG Energy Ltd,2013-10-16 00:00:00+00,,
3,160,CG Energy Ltd,2013-10-16 00:00:00+00,,
2,161,Cornerstone Ltd,2014-02-19 00:00:00+00,,
3,161,Cornerstone Ltd,2014-02-19 00:00:00+00,,
2,162,Clarus Energy Ltd,2014-02-19 00:00:00+00,,
3,162,Clarus Energy Ltd,2014-02-19 00:00:00+00,,
2,163,CarbonLow Real Estate Ltd,2012-07-18 00:00:00+00,,
3,163,CarbonLow Real Estate Ltd,2012-07-18 00:00:00+00,,
2,164,Climate Energy Ltd,2012-11-14 00:00:00+00,,
3,164,Climate Energy Ltd,2012-11-14 00:00:00+00,,
2,165,CertiNergy Ltd,2013-11-20 00:00:00+00,,
3,165,CertiNergy Ltd,2014-10-15 00:00:00+00,,
2,166,The Energy Saving Co-operative,2013-03-20 00:00:00+00,,
2,167,Capital Energy,2012-12-19 00:00:00+00,,
2,168,Cardiff Energy Supply Limited,2014-12-17 00:00:00+00,,
3,168,Cardiff Energy Supply Limited,2014-12-17 00:00:00+00,,
2,169,Solarcrown UK Limited,2013-06-19 00:00:00+00,,
3,169,Solarcrown UK Limited,2014-07-16 00:00:00+00,,
2,170,City Energy South Wales Ltd,2012-09-19 00:00:00+00,,
2,171,Commercial Tech Services Ltd,2013-02-20 00:00:00+00,,
3,171,Commercial Tech Services Ltd,2013-02-20 00:00:00+00,,
2,172,Corporate Support Solutions,2013-09-18 00:00:00+00,,
3,172,Corporate Support Solutions,2013-09-18 00:00:00+00,,
2,173,Cenergist Limited,2014-08-20 00:00:00+00,,
3,173,Cenergist Limited,2014-08-20 00:00:00+00,,
2,174,City Energy Ltd,2014-06-18 00:00:00+00,,
3,174,City Energy Ltd,2014-06-18 00:00:00+00,,
2,175,Deveron Construction Ltd,2013-12-18 00:00:00+00,,
2,176,Green Deal and Eco Funding Ltd,2014-02-19 00:00:00+00,,
3,176,Green Deal and Eco Funding Ltd,2014-02-19 00:00:00+00,,
2,177,Domestic Green Energy Ltd,2013-08-14 00:00:00+00,,
2,178,Domestic & General Heating Ltd,2014-03-19 00:00:00+00,,
3,178,Domestic & General Heating Ltd,2014-03-19 00:00:00+00,,
2,179,Direct Savings (Scotland) Limited,2014-05-14 00:00:00+00,,
3,179,Direct Savings (Scotland) Limited,2014-05-14 00:00:00+00,,
2,180,Green Deal Direct Ltd,2012-11-14 00:00:00+00,,
2,181,Dodd Group (Midlands) Ltd,2014-02-19 00:00:00+00,,
2,182,Domestiv & General,2013-08-14 00:00:00+00,,
2,183,Green Deal Together,2013-10-16 00:00:00+00,,
3,183,Green Deal Together,2013-10-16 00:00:00+00,,
3,184,Green Energy Advisors Ltd,2013-12-18 00:00:00+00,,
2,185,Essex Insulation Ltd,2014-01-22 00:00:00+00,,
3,185,Essex Insulation Ltd,2014-01-22 00:00:00+00,,
2,186,The Big Green Energy Company,2012-10-17 00:00:00+00,,
3,186,The Big Green Energy Company,2013-10-17 00:00:00+00,,
2,187,Eco Deal Ltd,2013-01-16 00:00:00+00,,
3,187,Eco Deal Ltd,2013-09-18 00:00:00+00,,
2,188,Enact Energy Renewables Ltd,2012-07-18 00:00:00+00,,
2,189,Effective Energy Solutions Ltd,2013-05-15 00:00:00+00,,
3,189,Effective Energy Solutions Ltd,2013-08-14 00:00:00+00,,
3,190,Egnida Limited,2013-02-20 00:00:00+00,,
2,191,ECO Home Alternatives Ltd,2014-02-19 00:00:00+00,,
3,191,ECO Home Alternatives Ltd,2014-02-19 00:00:00+00,,
2,192,Elite Supplies Ltd,2013-12-18 00:00:00+00,,
3,192,Elite Supplies Ltd,2013-12-18 00:00:00+00,,
2,193,EcoJoules Ltd,2013-12-18 00:00:00+00,,
3,193,EcoJoules Ltd,2013-12-18 00:00:00+00,,
2,194,Efficient Finance (UK) Ltd,2014-02-19 00:00:00+00,,
3,194,Efficient Finance (UK) Ltd,2014-02-19 00:00:00+00,,
2,195,Energy With Limited,2013-07-17 00:00:00+00,,
2,196,Empower Community Mgt Ltd,2012-07-18 00:00:00+00,,
3,196,Empower Community Mgt Ltd,2012-07-18 00:00:00+00,,
2,197,Enhance Energy Ltd,2012-12-19 00:00:00+00,,
3,197,Enhance Energy Ltd,2013-10-16 00:00:00+00,,
2,198,Gdeco Ltd,2013-11-20 00:00:00+00,,
3,198,Gdeco Ltd,2013-11-20 00:00:00+00,,
2,199,Go-Green Energy (Group) Ltd,2013-10-16 00:00:00+00,,
3,199,Go-Green Energy (Group) Ltd,2013-02-20 00:00:00+00,,
2,200,Encraft,2013-10-16 00:00:00+00,,
3,200,Encraft,2013-10-16 00:00:00+00,,
2,201,Green Deal Energy Services UK,2013-01-16 00:00:00+00,,
3,201,Green Deal Energy Services UK,2013-09-18 00:00:00+00,,
2,202,Energy Trust,2012-11-14 00:00:00+00,,
3,202,Energy Trust,2013-08-14 00:00:00+00,,
2,203,Solar Europa Ltd,2013-02-20 00:00:00+00,,
3,203,Solar Europa Ltd,2013-02-20 00:00:00+00,,
2,204,EvoEnergy Ltd,2013-10-16 00:00:00+00,,
3,204,EvoEnergy Ltd,2013-10-16 00:00:00+00,,
2,205,Efficient Warm Energy Limited,2013-06-19 00:00:00+00,,
2,206,Green Deal Express,2012-11-14 00:00:00+00,,
3,206,Green Deal Express,2013-10-16 00:00:00+00,,
2,207,Everwarm Ltd,2014-12-17 00:00:00+00,,
3,207,Everwarm Ltd,2014-12-17 00:00:00+00,,
2,208,Green Energy Advisors Limited,2014-05-14 00:00:00+00,,
3,208,Green Energy Advisors Limited,2014-05-14 00:00:00+00,,
2,209,The Green Deal Finance Company,2012-08-15 00:00:00+00,,
3,209,The Green Deal Finance Company,2012-08-15 00:00:00+00,,
2,210,1st Green Deal Ltd,2014-11-19 00:00:00+00,,
3,210,1st Green Deal Ltd,2014-11-19 00:00:00+00,,
2,211,FITGAS Ltd,2012-12-19 00:00:00+00,,
3,211,FITGAS Ltd,2012-12-19 00:00:00+00,,
2,212,Green Deal First Ltd,2014-09-17 00:00:00+00,,
3,212,Green Deal First Ltd,2014-09-17 00:00:00+00,,
2,213,Les Forshaw (Northern) Ltd,2013-05-15 00:00:00+00,,
3,213,Les Forshaw (Northern) Ltd,2013-05-15 00:00:00+00,,
2,214,Foster Property Maintenance,2013-01-16 00:00:00+00,,
3,214,Foster Property Maintenance,2013-09-18 00:00:00+00,,
2,215,Freedom Renewables Limited,2013-03-20 00:00:00+00,,
3,216,GDFC Services Limited,2013-02-20 00:00:00+00,,
2,217,Fusion Radiators Ltd,2014-06-18 00:00:00+00,,
3,217,Fusion Radiators Ltd,2014-06-18 00:00:00+00,,
2,218,Foster Renewable Energies Ltd,2014-01-22 00:00:00+00,,
3,218,Foster Renewable Energies Ltd,2014-01-22 00:00:00+00,,
2,219,The Friendly Investment Company PLC,2014-05-14 00:00:00+00,,
3,219,The Friendly Investment Company PLC,2014-05-14 00:00:00+00,,
2,220,Green Assess,2013-02-20 00:00:00+00,,
3,220,Green Assess,2013-09-18 00:00:00+00,,
2,221,Greenbury Energy Limited,2013-03-20 00:00:00+00,,
3,221,Greenbury Energy Limited,2014-04-16 00:00:00+00,,
2,222,Green Deal Factory,2013-08-14 00:00:00+00,,
3,222,Green Deal Factory,2014-02-19 00:00:00+00,,
2,223,GDFC Assets Limited,2013-03-20 00:00:00+00,,
3,223,GDFC Assets Limited,2013-03-20 00:00:00+00,,
2,224,G8 Eco Systems Ltd,2013-09-18 00:00:00+00,,
3,224,G8 Eco Systems Ltd,2013-09-18 00:00:00+00,,
2,225,Green Funding Ltd,2014-12-17 00:00:00+00,,
3,225,Green Funding Ltd,2014-12-17 00:00:00+00,,
2,226,Grafton Group,2012-07-18 00:00:00+00,,
3,226,Grafton Group,2013-09-18 00:00:00+00,,
2,227,GHE Solar Ltd,2012-10-17 00:00:00+00,,
3,227,GHE Solar Ltd,2013-04-17 00:00:00+00,,
2,228,Windows Plus,2013-03-20 00:00:00+00,,
3,228,Windows Plus,2014-04-16 00:00:00+00,,
2,229,Green Eco Grants Ltd,2014-02-19 00:00:00+00,,
3,229,Green Eco Grants Ltd,2014-02-19 00:00:00+00,,
2,230,Greendeal-Lynx,2013-12-18 00:00:00+00,,
2,231,Central Gas Maintenance Ltd,2015-01-21 00:00:00+00,,
3,231,Central Gas Maintenance Ltd,2015-01-21 00:00:00+00,,
2,232,Greenexo Ltd,2013-10-16 00:00:00+00,,
3,232,Greenexo Ltd,2013-10-16 00:00:00+00,,
2,233,Greenoke Energy Ltd,2013-07-17 00:00:00+00,,
3,233,Greenoke Energy Ltd,2013-07-17 00:00:00+00,,
2,234,SERS Energy Solutions Ltd,2014-08-20 00:00:00+00,,
3,234,SERS Energy Solutions Ltd,2014-08-20 00:00:00+00,,
2,235,Gr33n Ltd,2013-01-16 00:00:00+00,,
3,235,Gr33n Ltd,2014-11-19 00:00:00+00,,
2,236,Green Deal Savings Ltd,2013-08-14 00:00:00+00,,
3,236,Green Deal Savings Ltd,2014-04-16 00:00:00+00,,
2,237,Gentoo,2012-07-18 00:00:00+00,,
3,237,Gentoo,2012-07-18 00:00:00+00,,
2,238,Green Energy Solutions UK Ltd,2014-03-19 00:00:00+00,,
3,238,Green Energy Solutions UK Ltd,2014-03-19 00:00:00+00,,
2,239,Greenvision Energy Ltd,2013-03-20 00:00:00+00,,
2,240,Glasgow Green Global Limited,2014-05-14 00:00:00+00,,
3,240,Glasgow Green Global,2014-07-16 00:00:00+00,,
2,241,Dyson Energy Services Ltd,2013-06-19 00:00:00+00,,
2,242,GZ Energy Solutions,2013-12-18 00:00:00+00,,
3,242,GZ Energy Solutions,2014-08-20 00:00:00+00,,
2,243,Happy Energy,2013-07-17 00:00:00+00,,
2,244,HELMS Ltd,2012-11-14 00:00:00+00,,
3,244,HELMS Ltd,2013-08-14 00:00:00+00,,
2,245,Herbert T Forrest Ltd,2013-07-17 00:00:00+00,,
3,245,Herbert T Forrest Ltd,2014-01-22 00:00:00+00,,
2,246,High Oak Green Investments Ltd,2013-03-20 00:00:00+00,,
3,246,High Oak Green Investments Ltd,2013-05-15 00:00:00+00,,
2,247,Help-Link UK Limited,2014-03-19 00:00:00+00,,
3,247,Help-Link UK Limited,2014-03-19 00:00:00+00,,
2,248,Green Leaf Homes Ltd,2014-11-19 00:00:00+00,,
3,248,Green Leaf Homes Ltd,2014-11-19 00:00:00+00,,
2,249,Housing Action Management Ltd,2013-03-20 00:00:00+00,,
3,249,Housing Action Management Ltd,2013-09-18 00:00:00+00,,
2,250,MW Heating & Pumping Ltd,2014-11-19 00:00:00+00,,
3,250,MW Heating & Plumbing Ltd,2014-11-19 00:00:00+00,,
2,251,Halltech Electrical Services,2013-12-18 00:00:00+00,,
3,251,Halltech Electrical Services,2013-12-18 00:00:00+00,,
2,252,Home Energy UK,2014-10-15 00:00:00+00,,
3,252,Home Energy UK,2014-10-15 00:00:00+00,,
2,253,Heatwave Energy Funding Ltd,2014-12-17 00:00:00+00,,
3,253,Heatwave Energy Funding Ltd,2014-12-17 00:00:00+00,,
2,254,Green Deal Initiative Ltd,2014-08-20 00:00:00+00,,
