Market Participant ID,Market Participant Name
WBUR,TXU Europe West Burton Ltd
WGAS,Western Gas Ltd
WINT,Winterton Power Ltd
WPDR,Western Power Data Retriever
WPEM,Western Power East Midlands
WPRM,Western Power Remote Metering
WPSW,Western Power Dist South West
WPWA,Western Power Dist South Wales
WPWM,Western Power West Midlands
WREL,Utility Link Limited
YBGA,SP British Gas Trading
YEEL,SP Eastern Electricity
YELG,Northern Powergrid (Yorkshire)
YEME,SP East Midland Electricity
YHYD,SP Hydro Electric
YIND,SP Independent Energy (UK) Ltd
YLON,SP London Electricity
YMID,SP Midlands Electricity
YNAT,SP National Power
YNEE,SP Northern Electric
YNEL,SP Nuclear Electric
YNOR,SP NORWEB
YNUC,SP Magnox Electric
YPGE,SP PowerGen
YSEE,SP SEEBOARD
YSOU,SP Southern Electric
YSPO,SP Scottish Power plc
YSWA,SP South Wales Electricity
YSWE,SP South Western Electricity
YYEL,SP Yorkshire Electricity
ZEEL,HE Eastern Electricity
ZEME,HE East Midland Electricity
ZHYD,HE Scottish Hydro Electric plc
ZIND,HE Independent Energy (UK) Ltd
ZLON,HE London Electricity
ZMID,HE Midlands Electricity
ZNAT,HE National Power
ZNEE,HE Northern Electric
ZNOR,HE NORWEB
ZPGE,HE PowerGen
ZSEE,HE SEEBOARD
ZSOU,HE Southern Electric plc
ZSPO,HE ScottishPower
ZSWA,HE South Wales Electricity
ZTAR,REA AGENT ONLY (IMServ Europe)
ZYEL,HE Yorkshire Electricity
ZZAA,Dummy NHHDA for Eastern
ZZAB,Dummy NHHDA for East Midlands
ZZAC,Dummy NHHDA for London
ZZAD,Dummy NHHDA for Manweb
ZZAE,Dummy NHHDA for Midlands
ZZAF,Dummy NHHDA for Northern
ZZAG,Dummy NHHDA for Norweb
ZZAH,Dummy NHHDA for Southern
ZZAJ,Dummy NHHDA for Seeboard
ZZAK,Dummy NHHDA for SWALEC
ZZAL,Dummy NHHDA for SWEB
ZZAM,Dummy NHHDA for Yorkshire
