Settlement Date,Settlement Run Type,Settlement Period,RC
14/02/2016,SF,20,-.3043184233727425000376805540349910734353
14/02/2016,SF,21,-.4264979545859105663735480073610747567681
14/02/2016,SF,22,-.605947222919809462244338064825672786363
14/02/2016,SF,23,-.6576324919618831739546194131188563611533
14/02/2016,SF,24,-.7877297281159010995530466977210007315319
14/02/2016,SF,25,-.672374700157902445771887403567690376703
14/02/2016,SF,26,-.6343191225377233721653872570964155813911
14/02/2016,SF,27,-.5407127429669223093140893439541038027112
14/02/2016,SF,28,-.4893190785535172013101184353335636191267
14/02/2016,SF,29,-.5568542962617450779184611313137639226992
14/02/2016,SF,30,-.6270124743425583995924507439944167579502
14/02/2016,SF,31,-.501193388419607530493546321012497902779
14/02/2016,SF,32,-.4462833432084315503256754018592311843421
14/02/2016,SF,33,-.345761400868523465831207206764704337003
14/02/2016,SF,34,-.3725569288847738818455548939084113663375
14/02/2016,SF,35,-.3981771959092363142782474053430199672501
14/02/2016,SF,36,.3305013749370513245743410379219634723888
14/02/2016,SF,37,.5817848678635688477218223635159394721686
14/02/2016,SF,38,.5086350464394916386965384045199435948827
14/02/2016,SF,39,.3941526063511439083285174238998607166686
14/02/2016,SF,40,-.0278607769252902731361867899118221046125
14/02/2016,SF,41,.0550348669525807961592637164081090499868
14/02/2016,SF,42,-.0777930109756514057575748009169001153444
14/02/2016,SF,43,.2201798682024380682136389941568502996248
14/02/2016,SF,44,.3416676683302012742548656785767379929995
14/02/2016,SF,45,.0176392753182708705482526069948705430475
14/02/2016,SF,46,.9926037606702398245029452578680731138915
14/02/2016,SF,47,.3642978313180982557878846757439430851779
14/02/2016,SF,48,-.1234352906333607713273518428802439190221
15/02/2016,SF,1,-.1017808075819247539101956272614924912704
15/02/2016,SF,2,.3826802192737112388710972805187647269694
15/02/2016,SF,3,.4513748149365624427576709588730891821338
15/02/2016,SF,4,.2429469172593155466351030272865577499768
15/02/2016,SF,5,-.0371494071785079410320301798124114426066
15/02/2016,SF,6,.2210680079653361150697912092347009120709
15/02/2016,SF,7,.2797098741935539043022684155905658753079
15/02/2016,SF,8,.0254699846407206693509818805084605871884
15/02/2016,SF,9,.2145322572536527727701299987076927442345
15/02/2016,SF,10,.2068646448104715445826445171399608113011
15/02/2016,SF,11,.0341937177981123532089600122611590383626
15/02/2016,SF,12,-.0619180057896839824055707567520844118599
15/02/2016,SF,13,.3015867658383835322415994952326765204669
15/02/2016,SF,14,.2992645734817912438748198766110817152283
15/02/2016,SF,15,-.0350461166021480767590209254018008104024
15/02/2016,SF,16,-.1777575960699401968759894159824075226316
15/02/2016,SF,17,-.2140612608203724239358700235635295883761
15/02/2016,SF,18,-.1487304584527235093375076212267829254033
15/02/2016,SF,19,-.0493858206393470289173065112752263258578
15/02/2016,SF,20,-.1033163358640713838197449042286934674762
15/02/2016,SF,21,-.134934190084862328032097526355042156686
15/02/2016,SF,22,-.2066495071601994615095977559276125573254
15/02/2016,SF,23,-.2502603041363196973385863337660965243417
15/02/2016,SF,24,-.2768979293854605878559843566633385521496
15/02/2016,SF,25,-.3073526477537248332349219116301436213145
15/02/2016,SF,26,-.2880724295911889799606021553633919859138
15/02/2016,SF,27,-.2003713468100199502995484048262803996442
15/02/2016,SF,28,-.0147063138839100095255884526288055866156
15/02/2016,SF,29,.0855431886923556334181051867288140070419
15/02/2016,SF,30,.3294340725906070430467642706874455018931
15/02/2016,SF,31,.1343627158712123929682690541937483110355
15/02/2016,SF,32,.2432481763567708626760324637945867359975
15/02/2016,SF,33,.2084872853162493813811260738675970994364
15/02/2016,SF,34,.0824606154193108588207211794281688503546
15/02/2016,SF,35,-.1086603702331948196691976691190980587271
15/02/2016,SF,36,.0453794828059886549641276418391004574682
15/02/2016,SF,37,.7292586263056678762691329654010142030202
15/02/2016,SF,38,1.25080974674192052938771740115370215411
15/02/2016,SF,39,1.68511089681309181443227945907878314324
15/02/2016,SF,40,.9096606681397282937085701417394464647636
15/02/2016,SF,41,.0304830513290221106696000480394830374857
15/02/2016,SF,42,-.1198724905495199779407633495782063416659
15/02/2016,SF,43,-.0697108419303490485841347098254075357619
15/02/2016,SF,44,-.1056735386967425124007302302705403939505
15/02/2016,SF,45,-.17265781683373245569560961766022672209
15/02/2016,SF,46,-.0769833252747340127023098361703578721506
15/02/2016,SF,47,.0680615584799116302914761914717340661887
15/02/2016,SF,48,.2482819435227992314024117785864316568709
16/02/2016,SF,1,.7239268138667648444119628876719391726964
16/02/2016,SF,2,.0437124795812816612986766872879691559121
16/02/2016,SF,3,.1760640845422035693055272944297179413995
16/02/2016,SF,4,.065518646061885247724719847053401499514
16/02/2016,SF,5,.2415826180462595929569628144543475706706
16/02/2016,SF,6,.0358945201919101405827713834607694026687
16/02/2016,SF,7,.1590853779893399414079584780480774843634
16/02/2016,SF,8,.1425178063762292057968430266483751951953
16/02/2016,SF,9,.1282560755982843228888060924647783111529
16/02/2016,SF,10,.1370216746093912821682832246858361454718
16/02/2016,SF,11,.3199079575375231585723189210924392056272
16/02/2016,SF,12,.2407038916933773486393464952652810162702
16/02/2016,SF,13,.1516282032471278852380541119488257422646
16/02/2016,SF,14,-.0888745572870497630587575416839297628093
16/02/2016,SF,15,.4092639647173244576552214540166033367903
16/02/2016,SF,16,.3688338990001917668559090103896218958574
16/02/2016,SF,17,.0913149466429371664222225243026716038765
16/02/2016,SF,18,.1543448784956391591976226712573659001681
16/02/2016,SF,19,.0370091074992316749542752113097033964778
16/02/2016,SF,20,-.1365753056275275610776563060397208043739
16/02/2016,SF,21,-.3386103727043652934675852889087717521034
16/02/2016,SF,22,-.3724305042789544962233661767130936177588
16/02/2016,SF,23,-.2620018025247682676690890851689252230191
16/02/2016,SF,24,-.2958013726561304611822733085333017621039
16/02/2016,SF,25,-.0846900995461363447935512055838373871901
16/02/2016,SF,26,-.2137475940687837734601533170582973950703
16/02/2016,SF,27,-.1911624273825923711446479283546875593719
16/02/2016,SF,28,-.3071008679988915495101769119867723315123
16/02/2016,SF,29,-.1922240297801075051279018341457005068478
16/02/2016,SF,30,-.0660484963767437725571706287792716228803
16/02/2016,SF,31,.4660996901093961035966743226311546109411
16/02/2016,SF,32,.3852610886591320275727090946939877544347
16/02/2016,SF,33,.4682664040958235894934535163586265836209
16/02/2016,SF,34,.2097694817054723350407379214882731409098
16/02/2016,SF,35,-.0618260775054465347385906655397787644355
16/02/2016,SF,36,-.0576061140420280777298757588445283491615
16/02/2016,SF,37,-.0926675158557913849162683920886280799933
16/02/2016,SF,38,-.130269429180803761534733380233570989392
16/02/2016,SF,39,-.0775737610337410649247406928698008783247
16/02/2016,SF,40,-.0229049678470602991860016495463164682492
16/02/2016,SF,41,.0321535342445369757349174583018514133811
16/02/2016,SF,42,-.1712987617002825320169060021818005299033
16/02/2016,SF,43,-.2523182572498200295466317058563408470819
16/02/2016,SF,44,-.2712512824753295799192811869869821225743
16/02/2016,SF,45,-.1482595128083463782945721765208359056625
16/02/2016,SF,46,-.1802698542248354824972393836853531181462
16/02/2016,SF,47,.0124025107772956327037727336610327662608
16/02/2016,SF,48,-.1442112752278266895553977803961950071405
17/02/2016,SF,1,-.1422727390175768377882735100375466542306
17/02/2016,SF,2,.2825345700399332834472366665739234341159
17/02/2016,SF,3,.2371192449757542159735070099600346315417
17/02/2016,SF,4,.086826422173752276621770726043517304249
17/02/2016,SF,5,-.0156258204175433749473524330105484428602
17/02/2016,SF,6,-.0213516429908017254097048685341279333975
17/02/2016,SF,7,.0629563827610362621058457462604471788698
17/02/2016,SF,8,.1051266500763149749939497603526590682727
17/02/2016,SF,9,-.0307562295514102743018405669008078646633
17/02/2016,SF,10,-.0788199677663954971591710665328096242255
17/02/2016,SF,11,-.1128990073972510224501488163196964073554
17/02/2016,SF,12,-.1903822721168588333876108267133087194049
17/02/2016,SF,13,-.263482874312832738852942323837722262907
17/02/2016,SF,14,-.566321417840303064406064377577589209067
17/02/2016,SF,15,-.5497802418355605702929200967485123599038
17/02/2016,SF,16,-.4529318870143103270418352870477232979955
17/02/2016,SF,17,-.2060373535154626906949950437750013462583
17/02/2016,SF,18,.1750221020481515192638442289664304383104
17/02/2016,SF,19,.1633745713104553274222598279126112388826
17/02/2016,SF,20,.6124587045417018385158311199234681149796
