id,code,name
354,GDMG,Mark Group Limited
355,GDMO,Move2Green Limited
356,GDMS,Solarwise-rl
357,GDMT,MEB Total Ltd
358,GDND,New Eco Developments Limited
359,GDNE,Nationwide Energy Consultants
360,GDNG,Network Green Deal Ltd
361,GDNH,British Gas Trading Limited
362,GDNL,1 North Ltd
363,GDNN,Npower Northern Limited
364,GDNO,1 North Ltd
365,GDNP,NEIL_PITTAM_ELECTRICAL_LTD
366,GDNR,Northern Gas Heating Ltd
367,GDNW,Nationwide Solar Ltd
368,GDOB,1 Business Enterprise Ltd
369,GDOE,Osborne Energy Ltd
370,GDOG,OUR GENERATION LIMITED
371,GDOM,OM2 Solutions Ltd
372,GDON,One Green Place Ltd
373,GDOP,Opus Green Limited
374,GDOS,One Stop Energy Ltd
375,GDPC,PECT Consultancy Limited
376,GDPE,Physis Energy Ltd
377,GDPF,Green Deal Provider Funding Ld
378,GDPL,Complete Plumbing Clean Energy
379,GDPM,Plumb-Line Contracting Ltd
380,GDPN,Green Deal Provider Network
381,GDPO,Polyramek Energy Ltd
382,GDPP,The Green Provider Limited
383,GDPR,Premier Energy Solutions Ltd
384,GDPS,Green Deal Property Services
385,GDPV,GDProvider Ltd
386,GDQU,Quodox Energy Ltd
387,GDRE,ReEnergise Finance Ltd.
388,GDRG,Rural Green Deal Ltd
389,GDRI,Renewable Infrastructure Ltd
390,GDRL,R.I.S. Insulation Ltd
391,GDRN,Renew Property
392,GDRP,The Ridgeway Partnership
393,GDRS,RateSetter
394,GDRX,Rexel UK Limited
395,GDSA,Sutton Solar & Renewables Ltd
396,GDSB,SEHBAC Ltd
397,GDSC,Scenergy Ltd
398,GDSD,Energy Save Direct Ltd
399,GDSE,G2V Solar Energy Solutions Ltd
400,GDSF,Safeguard Group
401,GDSH,The Green Deal Shop.com Ltd
402,GDSI,SIG GDP Company Ltd
403,GDSJ,Star Building Contractors Ltd
404,GDSK,Solar City Limited
405,GDSL,Servicetotal Ltd
406,GDSN,British Gas New Heating
407,GDSO,Solas Scotland Ltd
408,GDSP,SSE Green Deal Provider Ltd
409,GDSQ,Green Deal Providers Scotland
410,GDSR,Solus Renewable Energy Ltd
411,GDSS,Silverstone Green Energy Ltd
412,GDST,Stroma Group
413,GDSU,Centre for Sustainable Energy
414,GDSV,Severn Wye Energy Agency
415,GDSW,Solarwise Renewables Ltd
416,GDSX,Sunsource Energy Limited
417,GDSY,Gas Elec Safety Systems Ltd
418,GDSZ,British Gas New Heating
419,GDTA,Tameside Energy Services
420,GDTB,Telling Blaisdons Ltd
421,GDTC,City Satellite Limited
422,GDTE,Tempo Insulation Services Ltd
423,GDTG,TIC Green Energy Limited
424,GDTM,Team 42 Ltd
425,GDTO,Toriga Energy
426,GDTP,Tees Property Solutions Ltd
427,GDTR,Toriga Energy Ltd
428,GDTS,Strathern Solutions Limited
429,GDTY,Green 360 Ltd
430,GDUC,UCS Renewables
431,GDUK,UK Energy Partners Ltd
432,GDUN,Green Deal Union Ltd
433,GDUP,Green Deal Upgrade Limited
434,GDUS,Utd Sustainable Energy Agency
435,GDVC,Save Co2 Limited
436,GDVG,Green Vision Energy Limited
437,GDVH,50five-(UK) Ltd
438,GDVL,Verden Ltd
439,GDVO,Volta Green Deal
440,GDVS,Sustain Energy (UK) Ltd
441,GDVV,SFS Home Assist Ltd
442,GDWB,Wetherby Building Systems Ltd
443,GDWD,Willmott Dixon Energy Services
444,GDWE,Warmer Energy Services Ltd
445,GDWF,Warmfill Limited
446,GDWG,The Warmer Group Ltd
447,GDWH,Warmer Home Finance Ltd
448,GDWI,Willerby Energy Organisation
449,GDWR,WhiteGold Renewables Ltd
450,GDWS,Westdale Services Limited
451,GDWU,Wolseley UK
452,GDWW,Work Work Ltd
453,GDXP,Xenon Professionals Ltd
454,GDXR,2 RED Ltd
455,GDXS,Southern Energy Solutions Ltd
456,GDYE,Yorkshire Energy Group
457,GDYG,Your Green Deal Provider Ltd
458,GDZS,Sakhara Ltd
459,GESL,SO Energy Trading Limited
460,GETW,Utilita Energy Limited
461,GGEN,ECLIPSE POWER NETWORKS LTD
462,GLAC,The Gas Light & Coke Company
463,GMTR,GAZPROM M & T RETAIL LTD
464,GNRG,Green Energy (UK) Plc
465,GONG,First Utility Limited
466,GREN,Greenwich Energy Trading Ltd
467,GUCL,Energetics Electricity Ltd
468,GYPL,Great Yarmouth Power Limited
469,HARL,HARLAXTON ENERGY NETWORKS LTD
470,HAVE,Haven Power Limited
471,HAWK,MAXEN POWER SUPPLY LIMITED
472,HEEL,Hydro Electric Energy Ltd
473,HELE,SSE Energy Limited
474,HMAR,TXU Europe High Marnham Ltd
475,HOLB,Holborn Energy Limited
476,HOME,ENGIE Power Limited
477,HPES,HP Enterprise Services UK LTD
478,HPOW,Haven Power Limited
479,HUDG,Hudson Energy Supply UK Ltd
480,HUDS,Hudson Energy Supply UK Ltd
481,HUMB,Humber Power Ltd
482,HYDE,SSE Electricity Limited
483,IAMP,Ampoweruk Ltd
484,ICPL,ICI Chemicals and Polymers
485,ICTL,Tym Huckin Ltd
486,IHTL,IN HOME TECHNOLOGY LTD
487,IMPH,Atlantic Energy UK PLC
488,IMPO,SSE Energy Supply Limited
489,IMPX,Inovyn Chlor Energy Ltd
490,INDE,Independent Energy NHH
491,INDQ,Indian Queens Power Ltd
492,INDX,Independent Energy HH
493,INRE,INNOGY RENEWABLES UK LIMITED
494,INVE,AMPowerUK LTD
495,IPNL,Independent Power Networks Ltd
496,IRES,Octopus Energy Limited
497,IRID,PFP Energy Supplies Ltd
498,IRON,TXU Europe Ironbridge Ltd
499,ITRI,Itron Metering Solutions UK
500,JERE,Hudson Energy Supply UK Ltd
501,JETS,Tempus Energy Supply Limited
502,KEAD,Keadby Generation
503,KENS,Kensington Power Limited
504,KEPL,Keadby Power Ltd
505,KMSL,KEIGHLEY METERING SERVICES LTD
506,KNPL,Kingsnorth Power Ltd
507,LAKE,Lakeland Power Ltd
508,LBSL,Lowri Beck Services Ltd
509,LCMG,LogicaCMG (UK) Ltd.
510,LECL,London Energy Company Limited
511,LENC,Lenco
512,LENG,ESP Electricity Limited
513,LIGH,MVV Environment Services Ltd
514,LILY,Delta Gas And Power Ltd
515,LIME,Limejump Energy Limited
516,LMSL,LEYLAND METERING SERVICES LTD
517,LOND,EDF Energy Limited
518,LORM,E (GAS AND ELECTRICITY) LTD
519,LUME,GNERGY Limited
520,LUMO,OVO Electricity Limited
521,LVDR,ESB ENERGY LTD
522,MAEL,MA Energy Ltd
523,MAET,MA Energy Ltd
524,MAGN,Orsted Power Sales (UK) Ltd
525,MAGX,Magnox Electric Plc
526,MAIN,e2m - energy trading ltd
527,MANP,Manx Electricity Authority
528,MANW,MANWEB plc
529,MARB,Marble Power Limited
530,MARI,Logicor Energy Limited
531,MATT,MATTINA LIMITED
532,MAVE,Maverick Energy
533,MCOR,METER CORP LTD
534,MECB,Magic Thermodynamic Box
535,MEDP,Medway Power Ltd
536,MEMD,Metering Services (MIDE Area)
537,MEMW,Metering Services (MANW Area)
538,MENW,Metering Services (NORW Area)
539,MESL,Metering Services Ltd.
540,MESS,Metering Services (SPOW Area)
541,MFAL,Meter Fit Assets Limited
542,MFDE,Meter Fit 20 Limited
543,MFGE,Meter Fit 35 Limited
544,MFMP,Meter Fit
545,MFSE,Meter Fit 10 Limited
546,MFUL,Meter Fit 30 Limited
547,MFXC,Meter Fit
548,MGAS,Midlands Gas Ltd
549,MICL,MERIDIAN INFRASTRUCTURE
550,MIDE,Midlands Electricity plc
551,MINT,Toucan Energy Limited
552,MISS,MISSISSIPPI ENERGY LIMITED
553,MLBB,Macquarie Leasing Limited
554,MLLA,Macquarie Leasing Limited
555,MMAL,Magnum Metering Assets Ltd
556,MMSL,Fulcrum Metering Services Ltd
557,MONT,People's Energy (Supply) Ltd
558,MOPL,Meter Operators Ltd
559,MORR,Morrison Utility Services Ltd
560,MPDL,Murphy Power Distribution Ltd
561,MRCY,Octopus Energy Limited
562,MRSL,Meter Reading Services Ltd
563,MSCG,Morgan Stanley Capital Grp Inc
564,MSSL,Syndicate City Limited
565,MTRL,Brook Green Trading Limited
566,NATP,Npower Ltd
567,NCKL,Brilliant Energy Supply Ltd
568,NEEB,Northern Powergrid (Northeast)
569,NELC,British Energy Generation Ltd
570,NESL,Northern Energy Services Ltd
571,NEVA,NEVADA ENERGY LIMITED
572,NEWP,Shell Energy Supply UK Ltd.
573,NGAS,NGC Ancillary Services
574,NGCP,First Hydro Company
575,NGCY,National Grid Company
576,NGIB,NGC Interconnections Business
577,NGTL,Killingholme Power Limited
578,NHUK,Norsk Hydro UK Ltd
579,NMSL,NELSON METERING SERVICES LTD
580,NONE,SMETS Meter No Longer Fitted
581,NORW,Electricity North West Limited
582,NPML,Northern Powergrid Metering
583,NPOW,INNOGY Plc
584,NTWL,Nitrogen Two Ltd
585,NUCE,Magnox Electric plc
586,OBER,Addito Energy Limited
587,OGAS,British Gas Trading Ltd
588,OMSL,OAKMERE METERING SERVICES LTD
589,ONGE,Orange Limited
590,ONSA,OnStream
591,ONSE,OnStream
592,ONST,"UMSL, trading as OnStream"
593,OPAL,Avid Energy limited
594,OREB,MoneyPlus Energy Limited
595,OREG,OREGON ENERGY LIMITED
596,OSMI,BRISTOL ENERGY
597,OTWO,O2
598,OVOE,OVO Electricity Limited
599,OXPO,Opus Energy Limited
600,PADD,Paddington Power Limited
601,PALL,Palladium Energy Supply Ltd
602,PARK,One Wales Energy Ltd
603,PCHP,PowerGen Combined Heat & Power
604,PDAL,Power Data Associates Ltd
605,PENL,Leep Electricity Networks Ltd
606,PERL,Perle Energy Limited
607,PETE,Peterborough Power Ltd
608,PETX,Pentex (East Midlands) Ltd
609,PGEN,Eon Energy Solutions Ltd
610,PILO,Tonik Energy Limited
611,PION,Igloo Energy Supply Limited
612,PIRO,Piranello Energy Supply Ltd
613,PLEX,PLEXUS TECHNOLOGY LIMITED
614,PLUS,MeterPlus
615,PMSL,PRESTON METERING SERVICES LTD
616,POML,Powermet Ltd
617,POOL,ELEXON Limited
618,POWQ,Hartree Partners Supply UK
619,PRIM,PRI Ltd
620,PRIP,PRI Ltd
621,PROZ,DYCE ENERGY LTD
622,PSUK,Npower Ltd
623,PURE,Good Energy Limited
624,PUTY,Putney Energy Limited
625,QEEN,GoTo Energy (UK) Limited
626,RAYL,Victory Energy Supply Limited
627,RBOS,Royal Bank of Scotland
628,REGE,Bulb Energy Ltd
629,REGP,Regional Power Generators
630,RENC,The Renewable Energy Company
631,RGAS,Regent Gas
632,RHOD,Our Power Energy Supply Ltd
633,ROAM,Dummy Id for Roaming SIMS
634,ROCK,Rocksavage Power Company Ltd
635,ROSE,Gas & Power Ltd TA Gulf G & P
636,RUGE,TXU Europe Rugeley Ltd
637,RUTH,Rutherford Energy Supply Ltd
638,RWED,ENGIE Power Limited
639,SAFL,Solutions Asset Finance Ltd
640,SANT,Nabuh Energy Limited
641,SAPH,Electroroute Energy Limited
642,SATU,Satus Energy Limited
643,SCAF,Scafell Energy Limited
644,SCHL,Schlumberger Industries Ltd
645,SCPL,South Coast Power Limited
646,SEAB,Seabank Power Limited
647,SECL,Spalding Energy Company Ltd
648,SECU,Secus Ltd
649,SEEB,EDF Energy Limited
650,SEEE,Shell Energy Europe
651,SEEL,Sempra Energy Europe Limited
652,SEML,Simply Electric Metering Ltd
653,SEOA,Scottish & Southern Energy Plc
654,SESL,Scottish Electricity Settlemen
655,SGNS,SGN Smart Ltd
656,SHEL,Shell Power Ltd
657,SIEM,Siemens MCS
658,SIMC,Simcoe Energy Limited
659,SING,United Gas & Power Trading Ltd
660,SINQ,Sinq Power Ltd
661,SIRO,Hudson Energy Supply UK Ltd
662,SKLN,Skylane Energy Supply Limited
663,SLOU,Slough Energy Supplies Ltd
664,SLVR,CNG Electricity Limited
665,SMAL,SmartestEnergy Limited
666,SMAP,Smart Meter Assets 1 Limited
667,SMAR,SmartestEnergy Limited
668,SMLU,Secure Meters (UK) Limited
669,SMML,Smart Meter Management Ltd
670,SNCL,Stanor National Contracts Ltd
671,SNFR,Sunflower Energy Supply Ltd
672,SOLE,Solarplicity Energy Limited
673,SOUT,SSE Electricity Limited
674,SPAL,Home Energy Trading Limited
675,SPOW,Scottish Power plc
676,SPRK,Ovo Electricity Limited
677,SPSM,SP Smart Meter Assets Limited
678,SSIL,Stark Software International
679,SSSG,Actavo Network Solutions UK
680,STAT,Statkraft Markets GMBH
681,STCL,St Clements Services
682,SUFL,STARK UTILITY FUNDING LIMITED
683,SWAE,SSE Electricity Limited
684,SWDP,Snowdrop Energy Supply Limited
685,SWEB,EDF Energy Limited
686,SWEL,SSE Electricity Limited
687,SYMB,SYMBIO ENERGY LTD
688,SYSC,Syseca Ltd
689,TANA,SANTANA ENERGY LIMITED
690,TCGP,The Challenge Group
691,TEAM,The Team Group of Companies UK
692,TEMP,Temple Energy Limited
693,TESI,Teesside Power Ltd
694,TEXA,AVRO COMMERCIAL ENERGY
695,TGPL,TotalFinaElf Gas & Power
696,THLE,ORBIT ENERGY LIMITED
697,THRE,Corona Energy Retail 4 Limited
698,TILL,Tillicum Energy Limited
699,TLWD,Bruntwood Energy Services Ltd
700,TMOB,T-Mobile
701,TNDO,Pozitive Energy Limited
702,TOGO,Together Energy Supply Limited
703,TONB,Tonik Energy Limited
704,TOTO,Toto Energy Ltd
705,TRAM,Switch Business Gas & Power
706,TREX,Power4All
707,TROJ,TMA Data Management Ltd
708,TRUR,TruRead Limited
709,TULP,Pure Planet Limited
710,UDMS,UtilityDataManagementServices
711,UDNL,Energy Assets Networks Limited
712,UESL,Utility Energy Solutions Ltd
713,UFUN,Foresight Metering Ltd
714,UKDC,IMServ Europe Ltd
715,UKEL,UK Electric Power Ltd
716,UKEP,UK Electric Power
717,UKMS,UK Power Networks Metering
718,UKPD,UK Power Distribution Limited
719,UKPR,UK Power Reserve Limited
720,UMLD,UML Ltd
721,UMOL,Utilita Field Services Ltd
722,UPLD,SMS Energy Services Ltd
723,UPLH,SMS Energy Services Ltd
724,UPLX,Utility Partnership Ltd
725,UTFL,Amey Metering Limited
726,UTLX,Utilyx Limited
727,UUCO,Amey Metering Limited
728,UUMO,Amey Metering Limited
729,UUNL,Amey Metering Limited
730,UUUU,ELEXON - PARMS
731,VATT,Vattenfall Networks Ltd
