id,tpr_id,Day of the Week Id,Start Day,Start Month,End Day,End Month,Start Hour,Start Minute,End Hour,End Minute
445,13,5,1,11,31,12,13,00,16,00
446,13,6,1,1,31,3,00,00,24,00
447,13,6,1,4,31,10,00,00,24,00
448,13,6,1,11,31,12,00,00,24,00
449,13,7,1,1,31,3,00,00,24,00
450,13,7,1,4,31,10,00,00,24,00
451,13,7,1,11,31,12,00,00,24,00
452,14,1,1,1,31,3,01,00,09,00
453,14,1,1,4,31,10,00,00,24,00
454,14,1,1,11,31,12,01,00,09,00
455,14,2,1,1,31,3,01,00,09,00
456,14,2,1,4,31,10,00,00,24,00
457,14,2,1,11,31,12,01,00,09,00
458,14,3,1,1,31,3,01,00,09,00
459,14,3,1,4,31,10,00,00,24,00
460,14,3,1,11,31,12,01,00,09,00
461,14,4,1,1,31,3,01,00,09,00
462,14,4,1,4,31,10,00,00,24,00
463,14,4,1,11,31,12,01,00,09,00
464,14,5,1,1,31,3,01,00,09,00
465,14,5,1,4,31,10,00,00,24,00
466,14,5,1,11,31,12,01,00,09,00
467,14,6,1,1,31,3,00,00,24,00
468,14,6,1,4,31,10,00,00,24,00
469,14,6,1,11,31,12,00,00,24,00
470,14,7,1,1,31,3,00,00,24,00
471,14,7,1,4,31,10,00,00,24,00
472,14,7,1,11,31,12,00,00,24,00
473,15,1,1,1,31,3,00,00,08,00
474,15,1,1,1,31,3,19,30,24,00
475,15,1,1,4,31,10,00,00,24,00
476,15,1,1,11,31,12,00,00,08,00
477,15,1,1,11,31,12,19,30,24,00
478,15,2,1,1,31,3,00,00,08,00
479,15,2,1,1,31,3,19,30,24,00
480,15,2,1,4,31,10,00,00,24,00
481,15,2,1,11,31,12,00,00,08,00
482,15,2,1,11,31,12,19,30,24,00
483,15,3,1,1,31,3,00,00,08,00
484,15,3,1,1,31,3,19,30,24,00
485,15,3,1,4,31,10,00,00,24,00
486,15,3,1,11,31,12,00,00,08,00
487,15,3,1,11,31,12,19,30,24,00
488,15,4,1,1,31,3,00,00,08,00
489,15,4,1,1,31,3,19,30,24,00
490,15,4,1,4,31,10,00,00,24,00
491,15,4,1,11,31,12,00,00,08,00
492,15,4,1,11,31,12,19,30,24,00
493,15,5,1,1,31,3,00,00,08,00
494,15,5,1,1,31,3,19,30,24,00
495,15,5,1,4,31,10,00,00,24,00
496,15,5,1,11,31,12,00,00,08,00
497,15,5,1,11,31,12,19,30,24,00
498,15,6,1,1,31,3,00,00,08,00
499,15,6,1,1,31,3,19,30,24,00
500,15,6,1,4,31,10,00,00,24,00
501,15,6,1,11,31,12,00,00,08,00
502,15,6,1,11,31,12,19,30,24,00
503,15,7,1,1,31,3,00,00,08,00
504,15,7,1,1,31,3,19,30,24,00
505,15,7,1,4,31,10,00,00,24,00
506,15,7,1,11,31,12,00,00,08,00
507,15,7,1,11,31,12,19,30,24,00
508,16,1,1,1,31,3,00,00,07,00
509,16,1,1,4,31,10,00,00,24,00
510,16,1,1,11,31,12,00,00,07,00
511,16,2,1,1,31,3,00,00,07,00
512,16,2,1,4,31,10,00,00,24,00
513,16,2,1,11,31,12,00,00,07,00
514,16,3,1,1,31,3,00,00,07,00
515,16,3,1,4,31,10,00,00,24,00
516,16,3,1,11,31,12,00,00,07,00
517,16,4,1,1,31,3,00,00,07,00
518,16,4,1,4,31,10,00,00,24,00
519,16,4,1,11,31,12,00,00,07,00
520,16,5,1,1,31,3,00,00,07,00
521,16,5,1,4,31,10,00,00,24,00
522,16,5,1,11,31,12,00,00,07,00
523,16,6,1,1,31,3,00,00,24,00
524,16,6,1,4,31,10,00,00,24,00
525,16,6,1,11,31,12,00,00,24,00
526,16,7,1,1,31,3,00,00,24,00
527,16,7,1,4,31,10,00,00,24,00
528,16,7,1,11,31,12,00,00,24,00
529,17,1,1,1,31,3,00,00,08,00
530,17,1,1,1,31,3,13,00,16,00
531,17,1,1,4,31,10,00,00,24,00
532,17,1,1,11,31,12,00,00,08,00
533,17,1,1,11,31,12,13,00,16,00
534,17,2,1,1,31,3,00,00,08,00
535,17,2,1,1,31,3,13,00,16,00
536,17,2,1,4,31,10,00,00,24,00
537,17,2,1,11,31,12,00,00,08,00
538,17,2,1,11,31,12,13,00,16,00
539,17,3,1,1,31,3,00,00,08,00
540,17,3,1,1,31,3,13,00,16,00
541,17,3,1,4,31,10,00,00,24,00
542,17,3,1,11,31,12,00,00,08,00
543,17,3,1,11,31,12,13,00,16,00
544,17,4,1,1,31,3,00,00,08,00
545,17,4,1,1,31,3,13,00,16,00
546,17,4,1,4,31,10,00,00,24,00
547,17,4,1,11,31,12,00,00,08,00
548,17,4,1,11,31,12,13,00,16,00
549,17,5,1,1,31,3,00,00,08,00
550,17,5,1,1,31,3,13,00,16,00
551,17,5,1,4,31,10,00,00,24,00
552,17,5,1,11,31,12,00,00,08,00
553,17,5,1,11,31,12,13,00,16,00
554,17,6,1,1,31,3,00,00,08,00
555,17,6,1,1,31,3,13,00,16,00
556,17,6,1,4,31,10,00,00,24,00
557,17,6,1,11,31,12,00,00,08,00
558,17,6,1,11,31,12,13,00,16,00
559,17,7,1,1,31,3,00,00,08,00
560,17,7,1,1,31,3,13,00,16,00
561,17,7,1,4,31,10,00,00,24,00
562,17,7,1,11,31,12,00,00,08,00
563,17,7,1,11,31,12,13,00,16,00
564,18,1,1,1,31,3,00,00,07,00
